Food code,Main food description
24164121,chicken
24164122,chicken
24164123,chicken
24164124,chicken
24164125,chicken
24167100,chicken
24167101,chicken
24167110,chicken
24167111,chicken
24167112,chicken
24167113,chicken
24167114,chicken
24167115,chicken
24167119,chicken
24167120,chicken
24167121,chicken
24167122,chicken
24167123,chicken
24167124,chicken
24167125,chicken
24167130,chicken
24167135,chicken
24170200,chicken
24180200,chicken
24198340,chicken
24198440,chicken
24198500,chicken
24198570,chicken
24198670,chicken
24198690,chicken
24198695,chicken
24198700,chicken
24198710,chicken
24198720,chicken
24198730,chicken
24198735,chicken
24198740,chicken
24198840,chicken
24201000,chicken
24201010,chicken
24201020,chicken
24201030,chicken
24201050,chicken
24201060,chicken
24201070,chicken
24201110,chicken
24201120,chicken
24201130,chicken
24201210,chicken
24201220,chicken
24201230,chicken
24201310,chicken
24201320,chicken
24201330,chicken
24201350,chicken
24201360,chicken
24201370,chicken
24201400,chicken
24201410,chicken
24201420,chicken
24201500,chicken
24201510,chicken
24201520,chicken
24202000,chicken
24202010,chicken
24202020,chicken
24202050,chicken
24202060,chicken
24202070,chicken
24202120,chicken
24202450,chicken
24202460,chicken
24202500,chicken
24202600,chicken
24203000,chicken
24203010,chicken
24203020,chicken
24203120,chicken
24205000,chicken
24205100,chicken
24206000,chicken
24207000,chicken
24208000,chicken
24208500,chicken
24208510,chicken
24300100,chicken
24300110,chicken
24300120,chicken
24301000,chicken
24301010,chicken
24301020,chicken
24301210,chicken
24302010,chicken
24311010,chicken
24400000,chicken
24400010,chicken
24400020,chicken
24401000,chicken
24401010,chicken
24401020,chicken
24402100,chicken
24402110,chicken
24403100,chicken
24404100,chicken
24701000,chicken
24701010,chicken
24701020,chicken
24703000,chicken
24703010,chicken
24703020,chicken
24705010,chicken
24706010,chicken
25110120,"Beef liver, braised"
25110140,"Beef liver, fried"
25110420,"Chicken liver, braised"
25110450,"Chicken liver, fried"
25112200,"Liver paste or pate, chicken"
25120000,"Heart, cooked"
25130000,"Kidney, cooked"
25140110,"Sweetbreads, cooked"
25150000,"Brains, cooked"
25160000,"Tongue, cooked"
25160110,"Tongue, smoked, cured, or pickled, cooked"
25160130,"Tongue pot roast, Puerto Rican style (Lengua al caldero)"
25170110,"Tripe, cooked"
25170210,"Chitterlings, cooked"
25170310,"Hog maws (stomach), cooked"
25170420,"Gizzard, cooked"
25210110,sausages
25210150,sausages
25210210,sausages
25210220,sausages
25210240,sausages
25210250,sausages
25210280,sausages
25210290,sausages
25210310,sausages
25210410,sausages
25210620,sausages
25210750,sausages
25220010,sausages
25220105,sausages
25220106,sausages
25220108,sausages
25220150,sausages
25220210,sausages
25220350,sausages
25220360,sausages
25220390,sausages
25220400,sausages
25220410,sausages
25220420,sausages
25220430,sausages
25220440,sausages
25220450,sausages
25220460,sausages
25220470,sausages
25220480,sausages
25220490,sausages
25220500,sausages
25220510,sausages
25220650,sausages
25220710,sausages
25220910,sausages
25221110,sausages
25221210,sausages
25221250,sausages
25221310,sausages
25221350,sausages
25221400,sausages
25221405,sausages
25221406,sausages
25221408,sausages
25221450,sausages
25221460,sausages
25221500,sausages
25221510,sausages
25221520,sausages
25221530,sausages
25221610,sausages
25221710,sausages
25221810,sausages
25221830,sausages
25221855,sausages
25221860,sausages
25221870,sausages
25221875,sausages
25221910,sausages
25221950,sausages
25230110,sausages
25230210,sausages
25230220,sausages
25230230,sausages
25230235,sausages
25230310,sausages
25230410,sausages
25230430,sausages
25230450,sausages
25230510,sausages
25230520,sausages
25230530,sausages
25230540,sausages
25230550,sausages
25230560,sausages
25230610,sausages
25230710,sausages
25230790,sausages
25230800,sausages
25230820,sausages
25230840,sausages
25230900,sausages
25230905,sausages
25231110,sausages
25231150,sausages
25240000,sausages
25240110,sausages
25240210,sausages
25240220,sausages
25240310,sausages
25240320,sausages
26100100,fish
26100110,fish
26100120,fish
26100121,fish
26100122,fish
26100123,fish
26100124,fish
26100130,fish
26100131,fish
26100132,fish
26100133,fish
26100134,fish
26100140,fish
26100141,fish
26100142,fish
26100143,fish
26100144,fish
26100160,fish
26100170,fish
26100180,fish
26100190,fish
26100200,fish
26100260,fish
26100270,fish
26101110,fish
26101180,fish
26103110,fish
26103120,fish
26103121,fish
26103130,fish
26103131,fish
26103140,fish
26103160,fish
26105110,fish
26105120,fish
26105121,fish
26105130,fish
26105131,fish
26105140,fish
26105160,fish
26105190,fish
26107110,fish
26107120,fish
26107121,fish
26107122,fish
26107123,fish
26107124,fish
26107130,fish
26107131,fish
26107132,fish
26107133,fish
26107134,fish
26107140,fish
26107141,fish
26107142,fish
26107143,fish
26107144,fish
26107160,fish
26109110,fish
26109120,fish
26109121,fish
26109122,fish
26109123,fish
26109124,fish
26109130,fish
26109131,fish
26109132,fish
26109133,fish
26109134,fish
26109140,fish
26109141,fish
26109142,fish
26109143,fish
26109144,fish
26109160,fish
26109170,fish
26109180,fish
26109190,fish
26111110,fish
26111120,fish
26111121,fish
26111130,fish
26111131,fish
26111140,fish
26111160,fish
26113110,fish
26113160,fish
26113190,fish
26115000,fish
26115110,fish
26115120,fish
26115121,fish
26115122,fish
26115123,fish
26115124,fish
26115130,fish
26115131,fish
26115132,fish
26115133,fish
26115134,fish
26115140,fish
26115141,fish
26115142,fish
26115143,fish
26115144,fish
26115160,fish
26115190,fish
26117110,fish
26117120,fish
26117121,fish
26117130,fish
26117131,fish
26117140,fish
26117160,fish
26117190,fish
26118000,fish
26118010,fish
26118020,fish
26118021,fish
26118022,fish
26118023,fish
26118024,fish
26118030,fish
26118031,fish
26118032,fish
26118033,fish
26118034,fish
26118040,fish
26118041,fish
26118042,fish
26118043,fish
26118044,fish
26118050,fish
26118060,fish
26119100,fish
26119110,fish
26119120,fish
26119121,fish
26119130,fish
26119131,fish
26119140,fish
26119160,fish
26119170,fish
26119180,fish
26119190,fish
26121100,fish
26121110,fish
26121120,fish
26121121,fish
26121131,fish
26121132,fish
26121140,fish
26121160,fish
26121180,fish
26121190,fish
26123100,fish
26123110,fish
26123120,fish
26123121,fish
26123130,fish
26123131,fish
26123140,fish
26123160,fish
26125100,fish
26125110,fish
